2026-06-20 08:57:19 | INFO     | backend.main:lifespan - 🚀 EVOLUTION AI Backend 启动 (env=development)
2026-06-20 08:57:19 | INFO     | backend.main:lifespan - 📁 静态资源: /app/data/所有对话/主对话/EVOLUTION_AI_DEMO/backend/outputs
2026-06-20 08:57:19 | INFO     | backend.main:lifespan - 🗄️ 数据库: sqlite:////app/data/所有对话/主对话/EVOLUTION_AI_DEMO/backend/outputs/evolution_ai.db
2026-06-20 08:57:19 | INFO     | backend.main:lifespan - ✅ 数据库表已就绪
2026-06-20 08:57:19 | INFO     | backend.main:lifespan - 👋 EVOLUTION AI Backend 关闭
2026-06-20 08:57:19 | INFO     | backend.main:lifespan - 🚀 EVOLUTION AI Backend 启动 (env=development)
2026-06-20 08:57:19 | INFO     | backend.main:lifespan - 📁 静态资源: /app/data/所有对话/主对话/EVOLUTION_AI_DEMO/backend/outputs
2026-06-20 08:57:19 | INFO     | backend.main:lifespan - 🗄️ 数据库: sqlite:////app/data/所有对话/主对话/EVOLUTION_AI_DEMO/backend/outputs/evolution_ai.db
2026-06-20 08:57:19 | INFO     | backend.main:lifespan - ✅ 数据库表已就绪
2026-06-20 08:57:19 | INFO     | backend.services.optimize_service:optimize - 🎯 [sync] Start optimize: sphere (max_iter=30)
2026-06-20 08:57:20 | INFO     | backend.services.optimize_service:optimize - ✅ [sync] Optimized in 0.84s: D → D, g2 Δ=+0
2026-06-20 08:57:20 | INFO     | backend.main:lifespan - 👋 EVOLUTION AI Backend 关闭
2026-06-20 08:57:20 | INFO     | backend.main:lifespan - 🚀 EVOLUTION AI Backend 启动 (env=development)
2026-06-20 08:57:20 | INFO     | backend.main:lifespan - 📁 静态资源: /app/data/所有对话/主对话/EVOLUTION_AI_DEMO/backend/outputs
2026-06-20 08:57:20 | INFO     | backend.main:lifespan - 🗄️ 数据库: sqlite:////app/data/所有对话/主对话/EVOLUTION_AI_DEMO/backend/outputs/evolution_ai.db
2026-06-20 08:57:20 | INFO     | backend.main:lifespan - ✅ 数据库表已就绪
2026-06-20 08:57:20 | INFO     | backend.main:lifespan - 👋 EVOLUTION AI Backend 关闭
2026-06-20 08:57:20 | INFO     | backend.main:lifespan - 🚀 EVOLUTION AI Backend 启动 (env=development)
2026-06-20 08:57:20 | INFO     | backend.main:lifespan - 📁 静态资源: /app/data/所有对话/主对话/EVOLUTION_AI_DEMO/backend/outputs
2026-06-20 08:57:20 | INFO     | backend.main:lifespan - 🗄️ 数据库: sqlite:////app/data/所有对话/主对话/EVOLUTION_AI_DEMO/backend/outputs/evolution_ai.db
2026-06-20 08:57:20 | INFO     | backend.main:lifespan - ✅ 数据库表已就绪
2026-06-20 08:57:20 | INFO     | backend.services.storyboard_service:generate - 🎬 [3bb224db9646] Generating storyboard: 测试智能汽车 (template=car_promotion)
2026-06-20 08:57:20 | INFO     | backend.services.storyboard_service:generate - ✅ [3bb224db9646] Storyboard ready in 0.8ms (7 scenes)
2026-06-20 08:57:20 | INFO     | backend.main:lifespan - 👋 EVOLUTION AI Backend 关闭
2026-06-20 08:57:20 | INFO     | backend.main:lifespan - 🚀 EVOLUTION AI Backend 启动 (env=development)
2026-06-20 08:57:20 | INFO     | backend.main:lifespan - 📁 静态资源: /app/data/所有对话/主对话/EVOLUTION_AI_DEMO/backend/outputs
2026-06-20 08:57:20 | INFO     | backend.main:lifespan - 🗄️ 数据库: sqlite:////app/data/所有对话/主对话/EVOLUTION_AI_DEMO/backend/outputs/evolution_ai.db
2026-06-20 08:57:20 | INFO     | backend.main:lifespan - ✅ 数据库表已就绪
2026-06-20 08:57:20 | INFO     | backend.services.project_service:create - 📁 Project created: id=1 name=测试方案
2026-06-20 08:57:20 | INFO     | backend.main:lifespan - 👋 EVOLUTION AI Backend 关闭
2026-06-20 08:57:20 | INFO     | backend.main:lifespan - 🚀 EVOLUTION AI Backend 启动 (env=development)
2026-06-20 08:57:20 | INFO     | backend.main:lifespan - 📁 静态资源: /app/data/所有对话/主对话/EVOLUTION_AI_DEMO/backend/outputs
2026-06-20 08:57:20 | INFO     | backend.main:lifespan - 🗄️ 数据库: sqlite:////app/data/所有对话/主对话/EVOLUTION_AI_DEMO/backend/outputs/evolution_ai.db
2026-06-20 08:57:20 | INFO     | backend.main:lifespan - ✅ 数据库表已就绪
2026-06-20 08:57:20 | INFO     | backend.services.export_service:export - 📦 Exported GLB in 48.3ms (134644 bytes)
2026-06-20 08:57:20 | INFO     | backend.main:lifespan - 👋 EVOLUTION AI Backend 关闭
2026-06-20 08:57:20 | INFO     | backend.main:lifespan - 🚀 EVOLUTION AI Backend 启动 (env=development)
2026-06-20 08:57:20 | INFO     | backend.main:lifespan - 📁 静态资源: /app/data/所有对话/主对话/EVOLUTION_AI_DEMO/backend/outputs
2026-06-20 08:57:20 | INFO     | backend.main:lifespan - 🗄️ 数据库: sqlite:////app/data/所有对话/主对话/EVOLUTION_AI_DEMO/backend/outputs/evolution_ai.db
2026-06-20 08:57:20 | INFO     | backend.main:lifespan - ✅ 数据库表已就绪
2026-06-20 08:57:20 | INFO     | backend.main:lifespan - 👋 EVOLUTION AI Backend 关闭
2026-06-20 08:57:46 | INFO     | backend.main:lifespan - 🚀 EVOLUTION AI Backend 启动 (env=development)
2026-06-20 08:57:46 | INFO     | backend.main:lifespan - 📁 静态资源: /app/data/所有对话/主对话/EVOLUTION_AI_DEMO/backend/outputs
2026-06-20 08:57:46 | INFO     | backend.main:lifespan - 🗄️ 数据库: sqlite:////app/data/所有对话/主对话/EVOLUTION_AI_DEMO/backend/outputs/evolution_ai.db
2026-06-20 08:57:46 | INFO     | backend.main:lifespan - ✅ 数据库表已就绪
2026-06-20 08:57:46 | INFO     | backend.services.project_service:create - 📁 Project created: id=2 name=测试方案
2026-06-20 08:57:47 | INFO     | backend.main:lifespan - 👋 EVOLUTION AI Backend 关闭
2026-06-20 08:57:53 | INFO     | backend.main:lifespan - 🚀 EVOLUTION AI Backend 启动 (env=development)
2026-06-20 08:57:53 | INFO     | backend.main:lifespan - 📁 静态资源: /app/data/所有对话/主对话/EVOLUTION_AI_DEMO/backend/outputs
2026-06-20 08:57:53 | INFO     | backend.main:lifespan - 🗄️ 数据库: sqlite:////app/data/所有对话/主对话/EVOLUTION_AI_DEMO/backend/outputs/evolution_ai.db
2026-06-20 08:57:55 | INFO     | backend.main:lifespan - ✅ 数据库表已就绪
2026-06-20 08:57:55 | INFO     | backend.services.project_service:create - 📁 Project created: id=1 name=测试方案
2026-06-20 08:57:55 | INFO     | backend.main:lifespan - 👋 EVOLUTION AI Backend 关闭
